RUN	CheckResponseBodyAndExtract	checkresponsebodyandextract	1587275711387	 	3.3.1
USER	Check JSONPath	2	START	1587275713504	1587275713504
USER	Check JSONPath	3	START	1587275713505	1587275713505
USER	Check JSONPath	1	START	1587275713504	1587275713504
REQUEST	2		Get Specific Game	1587275713561	1587275713621	OK	 
REQUEST	1		Get Specific Game	1587275713561	1587275713621	OK	 
REQUEST	3		Get Specific Game	1587275713561	1587275713621	OK	 
REQUEST	1		Get all video games	1587275713739	1587275713765	OK	 
REQUEST	3		Get all video games	1587275713739	1587275713767	OK	 
REQUEST	2		Get all video games	1587275713740	1587275713751	OK	 
REQUEST	2		Get games By Id	1587275713787	1587275713798	OK	 
REQUEST	3		Get games By Id	1587275713784	1587275713800	OK	 
USER	Check JSONPath	2	END	1587275713504	1587275713805
USER	Check JSONPath	3	END	1587275713505	1587275713805
REQUEST	1		Get games By Id	1587275713785	1587275713810	OK	 
USER	Check JSONPath	1	END	1587275713504	1587275713811
